Quelle science étudie les échanges et conversions d'énergie entre systèmes contenant un grand nombre de molécules ?,La thermodynamique.
Comment définit-on un système thermodynamique ?,"C'est un ensemble d'entités (atomes, ions, molécules) dont l'état est caractérisé par des grandeurs macroscopiques."
Qu'est-ce qu'une variable d'état en thermodynamique ?,"Une grandeur macroscopique qui caractérise l'état d'un système, comme la pression, la température ou le volume."
"Quelle est la formule liant la pression $P$, la force pressante $F$ et la surface $S$ ?",$P = \frac{F}{S}$
Quelle est l'unité de la pression dans le Système International ?,Le Pascal (Pa).
"Au niveau macroscopique, comment se comporte un gaz parfait au repos ?",Il est au repos à une température T (en Kelvin).
"Au niveau microscopique, quel est le comportement des entités d'un gaz parfait ?","Elles sont en mouvement incessant et désordonné, sans interaction entre elles, et ne subissent de chocs qu'avec les parois."
Quelle est l'équation d'état du gaz parfait ?,$P \cdot V = n \cdot R \cdot T$
"Dans l'équation $PV=nRT$, que représente $P$ et quelle est son unité ?",P représente la pression du gaz en Pascals (Pa).
"Dans l'équation $PV=nRT$, que représente $V$ et quelle est son unité ?",V représente le volume du gaz en mètres cubes ($m^3$).
"Dans l'équation $PV=nRT$, que représente $T$ et quelle est son unité ?",T représente la température en Kelvin (K).
"Dans l'équation $PV=nRT$, que représente $n$ et quelle est son unité ?",n représente la quantité de matière en moles (mol).
"Quelle est la valeur de la constante des gaz parfaits, R, avec ses unités ?","$R = 8,314 \, J \cdot mol^{-1} \cdot K^{-1}$ (ou $Pa \cdot m^3 \cdot mol^{-1} \cdot K^{-1}$)."
De quoi est constituée l'énergie interne $U$ d'un système ?,De la somme des énergies microscopiques : l'énergie cinétique microscopique (agitation thermique) et l'énergie potentielle microscopique (interactions entre entités).
Quelle est l'équation qui définit l'énergie totale $E$ d'un système ?,"$E = E_c + E_p + U$, où $E_c$ et $E_p$ sont les énergies macroscopiques."
Quels sont les deux modes de transfert de l'énergie entre un système et l'extérieur ?,Le travail ($W$) et le transfert thermique ($Q$).
"Le transfert d'énergie mécanique, résultant d'une action mécanique macroscopique, s'effectue sous forme de _____.",travail ($W$)
Le transfert d'énergie qui s'effectue microscopiquement en raison d'une différence de température est appelé _____.,transfert thermique ($Q$)
"Selon la convention, quand le travail $W$ et le transfert thermique $Q$ sont-ils comptés positivement ?",Lorsqu'ils sont reçus par le système.
"Selon la convention, quand le travail $W$ et le transfert thermique $Q$ sont-ils comptés négativement ?",Lorsqu'ils sont cédés par le système.
Énoncez le premier principe de la thermodynamique.,La variation d'énergie interne $\Delta U$ d'un système est égale à la somme des énergies échangées avec l'extérieur par travail $W$ et par transfert thermique $Q$ : $\Delta U = W + Q$.
Quels sont les trois modes de transferts thermiques ?,"La conduction, la convection et le rayonnement."
Terme : Conduction,"Définition : Transfert thermique par agitation thermique qui se transmet de proche en proche dans la matière, sans déplacement d'ensemble de celle-ci. Ce mode est prédominant dans les solides."
Terme : Convection,Définition : Transfert thermique porté par un mouvement de matière. Ce mode se produit dans les fluides (liquides et gaz).
Terme : Rayonnement,"Définition : Transfert thermique par absorption ou émission de photons, ne nécessitant pas de milieu matériel pour se propager."
Dans quel sens s'effectue spontanément un transfert thermique ?,De la source chaude vers la source froide.
Quand est-ce qu'un transfert thermique entre deux corps cesse ?,Lorsque l'équilibre thermique est atteint (les deux corps sont à la même température).
"Pour un système incompressible (solide ou liquide), comment s'exprime la variation d'énergie interne $\Delta U$ en fonction de la variation de température $\Delta T$ ?",$\Delta U = Q = m \cdot c \cdot \Delta T$
"Dans la formule $\Delta U = mc\Delta T$, que représente $c$ ?","La capacité thermique massique du système, en Joules par kilogramme et par Kelvin ($J \cdot kg^{-1} \cdot K^{-1}$)."
"Si la variation de température $\Delta T$ est positive, le système _____ de l'énergie.",reçoit
Comment définit-on le flux thermique $\phi$ ?,"C'est l'énergie thermique $Q$ qui s'écoule pendant une durée $\Delta t$, soit $\phi = \frac{Q}{\Delta t}$."
Quelle est l'unité du flux thermique $\phi$ ?,Le Watt (W).
Quelle est la loi de Stefan-Boltzmann pour le flux thermique rayonné $\phi$ par un corps ?,"$\phi = \sigma \cdot S \cdot T^4$, où $T$ est la température en Kelvin."
Quelle est la valeur de la constante de Stefan-Boltzmann $\sigma$ ?,"$\sigma = 5,67 \cdot 10^{-8} \, W \cdot m^{-2} \cdot K^{-4}$."
Comment s'appelle le phénomène où environ 30% du rayonnement solaire incident est réfléchi par l'atmosphère terrestre ?,L'albédo.
Quel est l'effet principal de l'effet de serre sur la surface de la Terre ?,"Il permet à la surface de la Terre de récupérer une partie de l'énergie thermique qu'elle rayonne, contribuant à son réchauffement."
"D'après le schéma du bilan radiatif terrestre, quelle est la puissance du rayonnement solaire incident par unité de surface ?","$342 \, W/m^2$."
"D'après le schéma du bilan radiatif, quelle puissance solaire par unité de surface atteint le sol terrestre ?","$239,4 \, W/m^2$."
"D'après le schéma du bilan radiatif, quelle puissance par unité de surface est émise par l'atmosphère vers le sol (effet de serre) ?","$336,7 \, W/m^2$."
Quelle est la loi de Newton pour le transfert thermique conducto-convectif ?,"Le flux thermique est $\phi = h \cdot S \cdot (T_e - T)$, où $T_e$ est la température extérieure et $T$ celle du système."
"Dans la loi de Newton $\phi = hS(T_e - T)$, que représente $h$ ?",$h$ est le coefficient d'échange convectif en $W \cdot m^{-2} \cdot K^{-1}$.
"Si le flux thermique $\phi$ calculé par la loi de Newton est négatif, que cela signifie-t-il pour le système ?",Cela signifie que le système cède de l'énergie au milieu extérieur.
"Pour un système de masse $m$ et capacité thermique $c$ en contact avec un thermostat à $T_e$, quelle équation différentielle régit sa température $T(t)$ ?","$\frac{dT}{dt} + \frac{1}{\tau} T = \frac{1}{\tau} T_e$, où $\tau = \frac{m \cdot c}{h \cdot S}$."
Que représente le temps caractéristique $\tau = \frac{m \cdot c}{h \cdot S}$ ?,Il représente la durée caractéristique de l'évolution de la température du système vers la température d'équilibre.
Quelle est la solution de l'équation différentielle décrivant l'évolution de la température $T(t)$ d'un corps initialement à $T_0$ placé dans un thermostat à $T_e$ ?,$T(t) = T_e + (T_0 - T_e) \cdot e^{-t/\tau}$.
Quelle température le système atteint-il après un temps très long ($t \to \infty$) lorsqu'il est en contact avec un thermostat à la température $T_e$ ?,Le système atteint la température d'équilibre $T_e$.
Comment définit-on la résistance thermique $R_{th}$ ?,"Elle est définie par la relation $\phi = \frac{\Delta T}{R_{th}}$, où $\Delta T$ est l'écart de température."
"Plus la résistance thermique $R_{th}$ d'un matériau est élevée, plus le flux thermique sera _____.",faible.
La température moyenne à la surface de la Terre est d'environ 15°C. Quelle est la cause principale de cette température par rapport à celle qu'elle aurait sans atmosphère ?,L'effet de serre naturel.
"Selon les sources, l'atmosphère absorbe environ _____ du rayonnement terrestre.",45 %.