"Quelle est la définition de la fonction logarithme népérien, notée $\ln$ ?","C'est la fonction réciproque de la fonction exponentielle, définie sur $]0; +\infty[$ à valeurs dans $\mathbb{R}$."
"Comment définit-on le logarithme népérien d'un réel strictement positif $a$, noté $\ln a$ ?",C'est l'unique solution de l'équation $e^x = a$.
Quelle est l'équivalence fondamentale entre la fonction logarithme népérien et la fonction exponentielle ?,"Pour tout $a > 0$ et tout réel $b$, on a $b = \ln a \Leftrightarrow e^b = a$."
Comment sont positionnées les courbes représentatives des fonctions exponentielle et logarithme népérien dans un repère orthonormé ?,Elles sont symétriques par rapport à la droite d'équation $y=x$.
"Pour tout réel $x$ strictement positif, que vaut $e^{\ln x}$ ?",$e^{\ln x} = x$.
"Pour tout réel $x$, que vaut $\ln(e^x)$ ?",$\ln(e^x) = x$.
Quelle est la valeur de $\ln(1)$ ?,$\ln(1) = 0$ car $e^0 = 1$.
Quelle est la valeur de $\ln(e)$ ?,$\ln(e) = 1$ car $e^1 = e$.
Comment résoudre l'équation $\ln(x-2) = 3$ ?,"On utilise l'équivalence : $x-2 = e^3$, donc $x = e^3 + 2$. La solution est $\{e^3+2\}$."
Comment résoudre l'équation $e^{2x-1} = 3$ ?,"On utilise l'équivalence : $2x-1 = \ln 3$, donc $x = \frac{1+\ln 3}{2}$."
"Quelle est la formule du logarithme d'un produit, pour $x > 0$ et $y > 0$ ?",$\ln(xy) = \ln x + \ln y$.
"Pour tout réel $x > 0$, la propriété $\ln(\frac{1}{x})$ est égale à _____.",$-\ln x$
"Pour tous réels $x > 0$ et $y > 0$, exprimez $\ln(\frac{x}{y})$ en fonction de $\ln x$ et $\ln y$.",$\ln(\frac{x}{y}) = \ln x - \ln y$.
"Pour tout réel $x > 0$, la propriété $\ln(\sqrt{x})$ est égale à _____.",$\frac{1}{2} \ln x$
"Pour tout réel $x > 0$ et tout entier relatif $n$, exprimez $\ln(x^n)$ en fonction de $\ln x$.",$\ln(x^n) = n \ln x$.
Simplifiez l'expression $A = \ln(3-\sqrt{5}) + \ln(3+\sqrt{5})$.,$A = \ln((3-\sqrt{5})(3+\sqrt{5})) = \ln(9-5) = \ln(4) = 2\ln(2)$.
Simplifiez l'expression $B = 3\ln 2 + \ln 5 - 2\ln 3$ sous la forme d'un seul logarithme.,$B = \ln(2^3) + \ln(5) - \ln(3^2) = \ln(\frac{8 \times 5}{9}) = \ln(\frac{40}{9})$.
Sur quel intervalle la fonction logarithme népérien est-elle dérivable ?,Sur l'intervalle $]0; +\infty[$.
Quelle est la dérivée de la fonction $f(x) = \ln x$ ?,$f'(x) = \frac{1}{x}$.
Quel est le sens de variation de la fonction logarithme népérien sur son domaine de définition ?,Elle est strictement croissante sur $]0; +\infty[$.
Quelle est la conséquence de la stricte croissance de la fonction $\ln$ sur les équations et inéquations ?,"Pour $x, y > 0$, $\ln x = \ln y \Leftrightarrow x=y$ et $\ln x < \ln y \Leftrightarrow x < y$."
Quelle est la première étape cruciale lors de la résolution d'une équation ou inéquation avec $\ln$ ?,Déterminer l'ensemble de définition (ou domaine de validité) de l'équation/inéquation.
Résoudre dans $\mathbb{R}$ l'équation $\ln(2x-1) = 2$.,Domaine : $2x-1 > 0 \implies x > 1/2$. Résolution : $2x-1 = e^2 \implies x = \frac{1+e^2}{2}$. Solution : $S = \{\frac{1+e^2}{2}\}$.
Quelle est la limite de $\ln x$ quand $x$ tend vers $+\infty$ ?,$\lim_{x \to +\infty} \ln x = +\infty$.
Quelle est la limite de $\ln x$ quand $x$ tend vers $0$ par valeurs positives ($0^+$) ?,$\lim_{x \to 0^+} \ln x = -\infty$.
Quelle est la conséquence graphique de la limite $\lim_{x \to 0^+} \ln x = -\infty$ ?,La courbe représentative de la fonction $\ln$ admet une asymptote verticale d'équation $x=0$.
Complétez le tableau de variation de la fonction $\ln x$ : signe de $\ln'(x)$ et variation de $\ln x$.,"Sur $]0; +\infty[$, $\ln'(x) = 1/x$ est toujours positive (+). La fonction $\ln x$ est donc strictement croissante de $-\infty$ à $+\infty$."
"Que vaut la dérivée de la fonction $\ln$ au point d'abscisse 1, et que cela signifie-t-il graphiquement ?",$\ln'(1) = 1$. Cela signifie que le coefficient directeur de la tangente à la courbe au point d'abscisse 1 est égal à 1.
Quelle est l'équation de la tangente à la courbe de la fonction $\ln$ au point d'abscisse 1 ?,$y = \ln'(1)(x-1) + \ln(1) \implies y = 1(x-1) + 0 \implies y = x-1$.
Théorème des croissances comparées : que vaut $\lim_{x \to +\infty} \frac{\ln x}{x}$ ?,$\lim_{x \to +\infty} \frac{\ln x}{x} = 0$.
Théorème des croissances comparées : que vaut $\lim_{x \to +\infty} \frac{\ln x}{x^n}$ pour $n \in \mathbb{N}^*$ ?,$\lim_{x \to +\infty} \frac{\ln x}{x^n} = 0$.
Théorème des croissances comparées : que vaut $\lim_{x \to 0^+} x \ln x$ ?,$\lim_{x \to 0^+} x \ln x = 0$.
Théorème des croissances comparées : que vaut $\lim_{x \to 0^+} x^n \ln x$ pour $n \in \mathbb{N}^*$ ?,$\lim_{x \to 0^+} x^n \ln x = 0$.
Comment déterminer la limite de $x - \ln x$ en $+\infty$ ?,"On factorise par $x$ : $x(1 - \frac{\ln x}{x})$. Comme $\lim_{x \to +\infty} \frac{\ln x}{x}=0$, la limite est $+\infty \times (1-0) = +\infty$."
Soit $u$ une fonction dérivable et strictement positive sur un intervalle $I$. Quelle est la dérivée de la fonction $f$ définie par $f(x) = \ln(u(x))$ ?,La dérivée est $f'(x) = \frac{u'(x)}{u(x)}$.
Quelle est la condition impérative sur la fonction $u$ pour que la fonction composée $\ln(u(x))$ soit définie ?,La fonction $u$ doit être strictement positive ($u(x) > 0$) sur l'intervalle considéré.
Soit la fonction $f$ définie sur $\mathbb{R}$ par $f(x) = \ln(x^2+1)$. Calculez sa dérivée $f'(x)$.,"On pose $u(x) = x^2+1$, donc $u'(x) = 2x$. La dérivée est $f'(x) = \frac{2x}{x^2+1}$."
Quelle est la limite de $f(x) = \ln(x^2+1)$ quand $x$ tend vers $+\infty$ ?,"$\lim_{x \to +\infty} (x^2+1) = +\infty$ et $\lim_{X \to +\infty} \ln(X) = +\infty$, donc par composition, $\lim_{x \to +\infty} \ln(x^2+1) = +\infty$."